부품ID,랙타입,부품명,규격,단가,표시명,출처,비고,카테고리
경량랙-기둥-h1200,경량랙,기둥(1200),,6600,경량랙 기둥(1200),bom_data,,
경량랙-기둥-h1500,경량랙,기둥(1500),,6600,경량랙 기둥(1500),bom_data,,
경량랙-기둥-h1800,경량랙,기둥(1800),,8000,경량랙 기둥(1800),bom_data,,
경량랙-기둥-h2100,경량랙,기둥(2100),,9000,경량랙 기둥(2100),bom_data,,
경량랙-기둥-h2400,경량랙,기둥(2400),,10000,경량랙 기둥(2400),bom_data,,
경량랙-기둥-h900,경량랙,기둥(900),,5600,경량랙 기둥(900),bom_data,,
경량랙-기둥-h750,경량랙,기둥(H750),높이 H750,0,경량랙 기둥(H750) 높이 H750,h750_generated,,
경량랙-받침상-d300,경량랙,받침(상)(300),D300,0,경량랙 받침(상)(300) D300,h750_generated,,
경량랙-받침상-d450,경량랙,받침(상)(450),D450,0,경량랙 받침(상)(450) D450,excel_h750_generated,,
경량랙-받침상-d600,경량랙,받침(상)(600),D600,0,경량랙 받침(상)(600) D600,excel_h750_generated,,
경량랙-받침하-d300,경량랙,받침(하)(300),D300,0,경량랙 받침(하)(300) D300,h750_generated,,
경량랙-받침하-d450,경량랙,받침(하)(450),D450,0,경량랙 받침(하)(450) D450,excel_h750_generated,,
경량랙-받침하-d600,경량랙,받침(하)(600),D600,0,경량랙 받침(하)(600) D600,excel_h750_generated,,
경량랙-선반-w700xd300,경량랙,선반(700),사이즈 W700xD300,0,경량랙 선반(700) 사이즈 W700xD300,h750_generated,,
경량랙-선반-w700xd450,경량랙,선반(700),사이즈 W700xD450,0,경량랙 선반(700) 사이즈 W700xD450,excel_h750_generated,,
경량랙-선반-w700xd600,경량랙,선반(700),사이즈 W700xD600,0,경량랙 선반(700) 사이즈 W700xD600,excel_h750_generated,,
경량랙-선반-w900xd300,경량랙,선반(900),사이즈 W900xD300,0,경량랙 선반(900) 사이즈 W900xD300,excel_h750_generated,,
경량랙-선반-w900xd450,경량랙,선반(900),사이즈 W900xD450,0,경량랙 선반(900) 사이즈 W900xD450,excel_h750_generated,,
경량랙-선반-w900xd600,경량랙,선반(900),사이즈 W900xD600,0,경량랙 선반(900) 사이즈 W900xD600,excel_h750_generated,,
경량랙-선반-w1000xd300,경량랙,선반(1000),사이즈 W1000xD300,0,경량랙 선반(1000) 사이즈 W1000xD300,excel_h750_generated,,
경량랙-선반-w1000xd450,경량랙,선반(1000),사이즈 W1000xD450,0,경량랙 선반(1000) 사이즈 W1000xD450,excel_h750_generated,,
경량랙-선반-w1000xd600,경량랙,선반(1000),사이즈 W1000xD600,0,경량랙 선반(1000) 사이즈 W1000xD600,excel_h750_generated,,
경량랙-선반-w1200xd300,경량랙,선반(1200),사이즈 W1200xD300,0,경량랙 선반(1200) 사이즈 W1200xD300,excel_h750_generated,,
경량랙-선반-w1200xd450,경량랙,선반(1200),사이즈 W1200xD450,0,경량랙 선반(1200) 사이즈 W1200xD450,excel_h750_generated,,
경량랙-선반-w1200xd600,경량랙,선반(1200),사이즈 W1200xD600,0,경량랙 선반(1200) 사이즈 W1200xD600,excel_h750_generated,,
경량랙-선반-w1500xd300,경량랙,선반(1500),사이즈 W1500xD300,0,경량랙 선반(1500) 사이즈 W1500xD300,excel_h750_generated,,
경량랙-선반-w1500xd450,경량랙,선반(1500),사이즈 W1500xD450,0,경량랙 선반(1500) 사이즈 W1500xD450,excel_h750_generated,,
경량랙-선반-w1500xd600,경량랙,선반(1500),사이즈 W1500xD600,0,경량랙 선반(1500) 사이즈 W1500xD600,excel_h750_generated,,
경량랙-안전좌-,경량랙,안전좌,,500,경량랙 안전좌,bom_data,,
경량랙-안전핀-,경량랙,안전핀,,100,경량랙 안전핀,bom_data,,
경량랙-연결대-w700,경량랙,연결대(700),W700,0,경량랙 연결대(700) W700,h750_generated,,
경량랙-연결대-w900,경량랙,연결대(900),W900,0,경량랙 연결대(900) W900,excel_h750_generated,,
경량랙-연결대-w1000,경량랙,연결대(1000),W1000,0,경량랙 연결대(1000) W1000,excel_h750_generated,,
경량랙-연결대-w1200,경량랙,연결대(1200),W1200,0,경량랙 연결대(1200) W1200,excel_h750_generated,,
경량랙-연결대-w1500,경량랙,연결대(1500),W1500,0,경량랙 연결대(1500) W1500,excel_h750_generated,,
스텐랙-75기둥-,스텐랙,75 기둥,,6500,스텐랙 75 기둥,extra_options,,추가상품2 (기둥추가(단위cm))
스텐랙-90기둥-,스텐랙,90 기둥,,7000,스텐랙 90 기둥,extra_options,,추가상품2 (기둥추가(단위cm))
스텐랙-120기둥-,스텐랙,120 기둥,,8750,스텐랙 120 기둥,extra_options,,추가상품2 (기둥추가(단위cm))
스텐랙-150기둥-,스텐랙,150 기둥,,10250,스텐랙 150 기둥,extra_options,,추가상품2 (기둥추가(단위cm))
스텐랙-180기둥-,스텐랙,180 기둥,,12500,스텐랙 180 기둥,extra_options,,추가상품2 (기둥추가(단위cm))
스텐랙-210기둥-,스텐랙,210 기둥,,13250,스텐랙 210 기둥,extra_options,,추가상품2 (기둥추가(단위cm))
스텐랙-50x75선반-,스텐랙,50x75 선반,,40000,스텐랙 50x75 선반,extra_options,,추가상품1 (선반추가(단위cm) 폭x길이)
스텐랙-50x90선반-,스텐랙,50x90 선반,,45000,스텐랙 50x90 선반,extra_options,,추가상품1 (선반추가(단위cm) 폭x길이)
스텐랙-50x120선반-,스텐랙,50x120 선반,,52000,스텐랙 50x120 선반,extra_options,,추가상품1 (선반추가(단위cm) 폭x길이)
스텐랙-50x150선반-,스텐랙,50x150 선반,,69000,스텐랙 50x150 선반,extra_options,,추가상품1 (선반추가(단위cm) 폭x길이)
스텐랙-50x180선반-,스텐랙,50x180 선반,,73000,스텐랙 50x180 선반,extra_options,,추가상품1 (선반추가(단위cm) 폭x길이)
스텐랙-기둥-높이75,스텐랙,기둥(75),높이 75,0,스텐랙 기둥(75) 높이 75,stainless_generated,,
스텐랙-기둥-높이90,스텐랙,기둥(90),높이 90,0,스텐랙 기둥(90) 높이 90,stainless_generated,,
